,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
0,globalcmrpt,The Global Crisis Management Report shares news and resources on global crises.,Worldwide,1992,8729,188805,0,Romney calls Tulsi Gabbard claims of 'US-funded biolabs' in Ukraine 'treasonous' https://t.co/xV6jhSrreO @factchecknet @EUvsDisinfo @PolygraphInfo @ECR2P @SecureDemocracy @hwag_ucmc @ncri_io @factcheckdotorg @PolitiFact https://t.co/jGGJAdnqol,[]
1,Charly67007,Freedom Of Mind Body And Soul 🙏🏼✊🏼✨🇺🇸✨✊🏼🙏🏼 Love My Black Brown White Yellow And Everyone Else Brothers And Sisters!!,,425,127,10119,0,"There are 25+ US-Funded 
With Taxpayers Money 
BIOLABS In 
Ukraine!!
https://t.co/7HhnGboTiA via @YouTube",[]
2,Charly67007,Freedom Of Mind Body And Soul 🙏🏼✊🏼✨🇺🇸✨✊🏼🙏🏼 Love My Black Brown White Yellow And Everyone Else Brothers And Sisters!!,,425,127,10119,0,"There Are 25+ US-Funded Biolabs With 
Very Dangerous Pathogens 🦠
In Ukraine And Over 300 Biolabs US-Funded Around The World!!
Truth Be Told Because Joe Biden’s 
Government Won’t!
https://t.co/b3Z1EfwuP6",[]
3,normanwlucas,"Norman Lucas: a Christian who recalls that the phrase 'bleeding heart liberal' refers to the heart of Jesus.  Also co-creator of Audra, Allison, Jerid & Jenna","Missouri, USA originally OH",964,425,28101,0,"This congresswoman Gabbard; is actively peddling disinformation about biolabs in Ukraine being US-funded. Make no mistake, this is not accidental.  She is an Assad apologist AND a Russian asset &amp; a danger to national security. https://t.co/mHHi0gJV4j https://t.co/xHtfnUKbkX",[]
4,museum_nature,Mother Nature gets 90% of your funds to the environment.,02909,0,28,9273,1,"Hey Combat Vet Tulsi, the Truth is Worse than even You can Tell US(video restored) Veterans Today #Nature #World #NatEco #Earth #PlanetEarth: There are 25+ US-funded biolabs in Ukraine, which if breached, would release &amp; spread deadly pathogens to… https://t.co/gkaJSMH6Ek https://t.co/Nzl1RgQ0av","['Nature', 'World', 'NatEco']"
5,EKatholik,Verteidigung des trad. katholischen Glaubens (s. MHFM). Bete täglich alle 15 Geheimnisse des Rosenkranzes. Bete oft das Ave Maria. Weihe Dich der Muttergottes.,Deutschland/USA ,4901,4451,31095,3,"""There are US-funded biolabs in Ukraine"" - video - https://t.co/YSnyIfjoWY https://t.co/022lmq6DZJ",[]
6,MindSeva,"Current affairs enthusiast, Indian stock market observer",Chennai-India,0,2,708,0,"After Rubio, Nuland, Gabbard and Romney Go Head-to-Head Over US-funded ‘Biolabs’ In Ukraine https://t.co/pOLL6x0MS4",[]
7,Catholicus33,ES https://t.co/lD95qJ55wc IT https://t.co/sIf4F9Rshy FR https://t.co/oSQc7tPHbW,,68,113,8988,3,"""There are US-funded biolabs in Ukraine"" - video - https://t.co/YSnyIfjoWY https://t.co/022lmq6DZJ",[]
